AGENCY,AWARDIDIDV,BUREAU,CONTRACT_NUMBER,DATASOURCE,DATE,DESCR,FROM_ZIP_CODE,LONGDESCR,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,PRICE,PSC,TO_ZIP_CODE,UNIT_OF_ISSUE,UNITS,VENDOR,EXTENDED_PRICE,PRODUCT_DESCRIPTION,QUANTITY,UNSPSC_CODE,ORDERING_PROCESS,PSC_DESCRIPTION,DUNS_NUMBER
"CORPS OF ENGINEERS, CIVIL",NGAKXA3930N,"CORPS OF ENGINEERS, CIVIL",GS-02F-XA001,OS2,1/30/2013,AbilityOne NSN# 4020-00-262-2019 EAST TEXAS L/H FOR THE BLIND # 801752 - 1 SL b,"OTHER, UNDEFINED",AbilityOne NSN# 4020-00-262-2019 EAST TEXAS L/H FOR THE BLIND # 801752 - 1 SL b,NIB,4.02E+12,82.35,4020,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",82.35,"FIBER ROPE, CORDAGE, AND TWINE",1,44121700,GSA ADVANTAGE!,"FIBER ROPE, CORDAGE, AND TWINE",131781643
"CORPS OF ENGINEERS, CIVIL",NGAKXB2922N,"US ARMY CORPS OF ENGINEERS DISTRICT, NASHVILLE",GS-02F-XA001,OS2,2/4/2013,"AbilityOne NSN# 7520-01-386-1604 AbilityOne # 3861604 - 1 DZ , NSN3861604 by UP","OTHER, UNDEFINED","AbilityOne NSN# 7520-01-386-1604 AbilityOne # 3861604 - 1 DZ , NSN3861604 by UP",NIB,7.52001E+12,5.64,7520,"OTHER, UNDEFINED",DZ,3,"CAPITOL SUPPLY, INC.",16.92,OFFICE DEVICES AND ACCESSORIES,3,44121704,GSA ADVANTAGE!,OFFICE DEVICES AND ACCESSORIES,131781643
"CORPS OF ENGINEERS, CIVIL",NGAKXB2922N,"US ARMY CORPS OF ENGINEERS DISTRICT, NASHVILLE",GS-02F-XA001,OS2,2/4/2013,"SCOTCH # RF7061X - 1 EA , H4RF7061X by UPS/FedExGd, Scotch - Multipurpose Faste","OTHER, UNDEFINED","SCOTCH # RF7061X - 1 EA , H4RF7061X by UPS/FedExGd, Scotch - Multipurpose Faste",SCOTCH,RF7061X,3,7510,"OTHER, UNDEFINED",EA,3,"CAPITOL SUPPLY, INC.",9,OFFICE SUPPLIES,3,0,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
"CORPS OF ENGINEERS, CIVIL",NGAKXB9364N,"CORPS OF ENGINEERS, CIVIL",GS-02F-XA001,OS2,2/5/2013,EPSON INK T098120-S BLACK (continue),"OTHER, UNDEFINED",EPSON INK T098120-S BLACK (continue),EPSON,EPST098120S,15.66,7510,"OTHER, UNDEFINED",EA,3,"CAPITOL SUPPLY, INC.",46.98,OFFICE SUPPLIES,3,44103105,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
"CORPS OF ENGINEERS, CIVIL",NGAKXC1867N,"CORPS OF ENGINEERS, CIVIL",GS-02F-XA001,OS2,2/6/2013,"HEWLETT PACKARD # CE410X - 1 CTG , HEWCE410X by UPS/FedExGd, HP 305X Toner Cart","OTHER, UNDEFINED","HEWLETT PACKARD # CE410X - 1 CTG , HEWCE410X by UPS/FedExGd, HP 305X Toner Cart",HEWLETT PACKARD,HEWCE410X,85.14,7510,"OTHER, UNDEFINED",CT,2,"CAPITOL SUPPLY, INC.",170.28,OFFICE SUPPLIES,2,44103103,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
"CORPS OF ENGINEERS, CIVIL",NGAKXC2940N,"CORPS OF ENGINEERS, CIVIL",GS-02F-XA001,OS2,2/6/2013,"AbilityOne NSN# 7510-01-545-3742 UNICOR # 166113 - 1 PK by UPS/FedExGd, Ability","OTHER, UNDEFINED","AbilityOne NSN# 7510-01-545-3742 UNICOR # 166113 - 1 PK by UPS/FedExGd, Ability",NIB,7.51002E+12,5.7,7510,"OTHER, UNDEFINED",PK,12,"CAPITOL SUPPLY, INC.",68.4,OFFICE SUPPLIES,12,44121500,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
"CORPS OF ENGINEERS, CIVIL",NGAKXF1137N,"US ARMY CORPS OF ENGINEERS DISTRICT, HUNTINGTON",GS-02F-XA001,OS2,2/19/2013,"AbilityOne NSN# 7510-01-545-3742 UNICOR # 166113 - 1 PK by UPS/FedExGd, Ability","OTHER, UNDEFINED","AbilityOne NSN# 7510-01-545-3742 UNICOR # 166113 - 1 PK by UPS/FedExGd, Ability",NIB,7.51002E+12,5.7,7510,"OTHER, UNDEFINED",PK,5,"CAPITOL SUPPLY, INC.",28.5,OFFICE SUPPLIES,5,44121500,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,039-13-12,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/13/2013,DDR61X: Compatible replaces C8061X - EA,"OTHER, UNDEFINED",DDR61X: Compatible replaces C8061X - EA,DID INC,DDR61X,34.37,7510,"OTHER, UNDEFINED",EA,2,DOCUMENT IMAGING DIMENSIONS INC.,68.74,OFFICE SUPPLIES,2,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
DEPARTMENT OF AGRICULTURE,059-13-003,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/14/2013,DDR61X: Compatible replaces C8061X - EA,"OTHER, UNDEFINED",DDR61X: Compatible replaces C8061X - EA,DID INC,DDR61X,34.37,7510,"OTHER, UNDEFINED",EA,2,DOCUMENT IMAGING DIMENSIONS INC.,68.74,OFFICE SUPPLIES,2,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
DEPARTMENT OF AGRICULTURE,077-13-004.1,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/14/2013,"CTGCTG27P: Toner Cartridge, for HP Laser - EA","OTHER, UNDEFINED","CTGCTG27P: Toner Cartridge, for HP Laser - EA",CTG,CTGCTG27P,27.96,7510,"OTHER, UNDEFINED",EA,2,DOCUMENT IMAGING DIMENSIONS INC.,55.92,OFFICE SUPPLIES,2,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
DEPARTMENT OF AGRICULTURE,077-13-004.1,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/14/2013,DDR61X: Compatible replaces C8061X - EA,"OTHER, UNDEFINED",DDR61X: Compatible replaces C8061X - EA,DID INC,DDR61X,34.37,7510,"OTHER, UNDEFINED",EA,2,DOCUMENT IMAGING DIMENSIONS INC.,68.74,OFFICE SUPPLIES,2,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
DEPARTMENT OF AGRICULTURE,087-13-004,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/20/2013,DDR61X: Compatible replaces C8061X - EA,"OTHER, UNDEFINED",DDR61X: Compatible replaces C8061X - EA,DID INC,DDR61X,34.37,7510,"OTHER, UNDEFINED",EA,4,DOCUMENT IMAGING DIMENSIONS INC.,137.48,OFFICE SUPPLIES,4,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
DEPARTMENT OF AGRICULTURE,1.30204E+17,,GS-02F-XA001,OS2,2/5/2013,"MFG Part#:XST22602        SHACHI - 22602 - Xstamper XpeDater Pre-Inked Rotary RECEIVED Message/Date Stamp - 1.75in.  Diameter - Red, Blue - MFG Part: 22602","OTHER, UNDEFINED","MFG Part#:XST22602        SHACHI - 22602 - Xstamper XpeDater Pre-Inked Rotary RECEIVED Message/Date Stamp - 1.75in.  Diameter - Red, Blue - MFG Part: 22602",SHACHIHATA INC,22602,34.05,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",34.05,OFFICE SUPPLIES,1,0,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,1.30226E+17,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/28/2013,"MFG Part#:7520015654872 NIB-NISH / JWOD - PENCIL, MECHANICAL, 0.5MM - MFG Part: 5654872 NSN# 7520-01-565-4872","OTHER, UNDEFINED","MFG Part#:7520015654872 NIB-NISH / JWOD - PENCIL, MECHANICAL, 0.5MM - MFG Part: 5654872 NSN# 7520-01-565-4872",NIBNISH,7.52002E+12,28.04,7520,"OTHER, UNDEFINED",DZ,2,"CAPITOL SUPPLY, INC.",56.08,OFFICE DEVICES AND ACCESSORIES,2,44121705,VENDOR PORTAL,OFFICE DEVICES AND ACCESSORIES,131781643
DEPARTMENT OF AGRICULTURE,1.30226E+17,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/28/2013,"MFG Part#:7520015654874 NIB-NISH / JWOD - PENCIL, MECHANICAL, 0.7MM - MFG Part: 5654874 NSN# 7520-01-565-4874","OTHER, UNDEFINED","MFG Part#:7520015654874 NIB-NISH / JWOD - PENCIL, MECHANICAL, 0.7MM - MFG Part: 5654874 NSN# 7520-01-565-4874",NIBNISH,7.52002E+12,28.04,7520,"OTHER, UNDEFINED",DZ,2,"CAPITOL SUPPLY, INC.",56.08,OFFICE DEVICES AND ACCESSORIES,2,44121705,VENDOR PORTAL,OFFICE DEVICES AND ACCESSORIES,131781643
DEPARTMENT OF AGRICULTURE,1.30226E+17,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/28/2013,"MFG Part#:ACC72580 ACCO - 72580 - Acco Economy Paper Clips - Jumbo, Standard - Steel, Tin - 1000 / Pack - Silver - MFG Part: 72580","OTHER, UNDEFINED","MFG Part#:ACC72580 ACCO - 72580 - Acco Economy Paper Clips - Jumbo, Standard - Steel, Tin - 1000 / Pack - Silver - MFG Part: 72580",ACCO,72580,7.58,7510,"OTHER, UNDEFINED",PK,2,"CAPITOL SUPPLY, INC.",15.16,OFFICE SUPPLIES,2,44122104,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,1.30226E+17,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/28/2013,"MFG Part#:EVEA93BP4 EVEREADY BATTERY - BATTERY,ALKA,C,4PK,ENGZR - MFG Part: A93BP4","OTHER, UNDEFINED","MFG Part#:EVEA93BP4 EVEREADY BATTERY - BATTERY,ALKA,C,4PK,ENGZR - MFG Part: A93BP4",ENERGIZER,A93BP4,6.31,7510,"OTHER, UNDEFINED",PK,2,"CAPITOL SUPPLY, INC.",12.62,OFFICE SUPPLIES,2,26111702,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,1.30226E+17,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/28/2013,"MFG Part#:EVEA958 EVEREADY BATTERY - Alkaline Battery, in. Din.  Size, 8/PK - MFG Part: A958","OTHER, UNDEFINED","MFG Part#:EVEA958 EVEREADY BATTERY - Alkaline Battery, in. Din.  Size, 8/PK - MFG Part: A958",ENERGIZER,A958,14.41,7510,"OTHER, UNDEFINED",PK,4,"CAPITOL SUPPLY, INC.",57.64,OFFICE SUPPLIES,4,26111702,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,1.30226E+17,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/28/2013,"MFG Part#:EVEE91FP12 EVEREADY BATTERY - Energizer Alkaline Battery, AA, 12/PK - MFG Part: E91FP12","OTHER, UNDEFINED","MFG Part#:EVEE91FP12 EVEREADY BATTERY - Energizer Alkaline Battery, AA, 12/PK - MFG Part: E91FP12",ENERGIZER,E91FP12,11.73,7510,"OTHER, UNDEFINED",PK,4,"CAPITOL SUPPLY, INC.",46.92,OFFICE SUPPLIES,4,26111702,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,1.30226E+17,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/28/2013,"MFG Part#:MMM810341296 3M/COMMERCIAL TAPE DIV. - Magic Tape, 1in.  Core, 3/4in. x1296in. , Transparent - MFG Part: 810341296","OTHER, UNDEFINED","MFG Part#:MMM810341296 3M/COMMERCIAL TAPE DIV. - Magic Tape, 1in.  Core, 3/4in. x1296in. , Transparent - MFG Part: 810341296",3M,810341296,2.65,7510,"OTHER, UNDEFINED",RL,24,"CAPITOL SUPPLY, INC.",63.6,OFFICE SUPPLIES,24,31201512,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,1.30226E+17,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/28/2013,MFG Part#:PEN502H PENTEL - 50-2H - Pentel Super Hi-Polymer Lead - 0.7mm - Medium Point - 2H - BlackPentel Mechanical Pencil - 12 / Tube - MFG Part: 502H,"OTHER, UNDEFINED",MFG Part#:PEN502H PENTEL - 50-2H - Pentel Super Hi-Polymer Lead - 0.7mm - Medium Point - 2H - BlackPentel Mechanical Pencil - 12 / Tube - MFG Part: 502H,PENTEL,502H,0.65,7510,"OTHER, UNDEFINED",TB,24,"CAPITOL SUPPLY, INC.",15.6,OFFICE SUPPLIES,24,44121705,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,1.30226E+17,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/28/2013,MFG Part#:PENC5052H PENTEL - C505-2H - Pentel Super Hi-Polymer Lead - 0.5mm - Fine Point - 2H - Black For Pentel Mechanical Pencil - 12 / Tube - MFG Part: C5052H,"OTHER, UNDEFINED",MFG Part#:PENC5052H PENTEL - C505-2H - Pentel Super Hi-Polymer Lead - 0.5mm - Fine Point - 2H - Black For Pentel Mechanical Pencil - 12 / Tube - MFG Part: C5052H,PENTEL,C5052H,0.65,7510,"OTHER, UNDEFINED",TB,24,"CAPITOL SUPPLY, INC.",15.6,OFFICE SUPPLIES,24,44121902,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,1.30226E+17,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/28/2013,"MFG Part#:PIL31171 PILOT CORP. OF AMERICA - PEN G2 GEL FN,BE,UPC - MFG Part: 31171","OTHER, UNDEFINED","MFG Part#:PIL31171 PILOT CORP. OF AMERICA - PEN G2 GEL FN,BE,UPC - MFG Part: 31171",PILOT,31171,20.24,7510,"OTHER, UNDEFINED",DZ,4,"CAPITOL SUPPLY, INC.",80.96,OFFICE SUPPLIES,4,44121701,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,1.30226E+17,NATURAL RESOURCES CONSERVATION SERVICE,GS-02F-XA001,OS2,2/28/2013,"MFG Part#:PIL31172 PILOT CORP. OF AMERICA - PENG2 GEL FN,RD,UPC - MFG Part: 31172","OTHER, UNDEFINED","MFG Part#:PIL31172 PILOT CORP. OF AMERICA - PENG2 GEL FN,RD,UPC - MFG Part: 31172",PILOT,31172,20.32,7510,"OTHER, UNDEFINED",DZ,3,"CAPITOL SUPPLY, INC.",60.96,OFFICE SUPPLIES,3,60121524,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,137-13-03,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/27/2013,DDR61X: Compatible replaces C8061X - EA,"OTHER, UNDEFINED",DDR61X: Compatible replaces C8061X - EA,DID INC,DDR61X,34.37,7510,"OTHER, UNDEFINED",EA,2,DOCUMENT IMAGING DIMENSIONS INC.,68.74,OFFICE SUPPLIES,2,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
DEPARTMENT OF AGRICULTURE,13LJH1575,AGRICULTURAL RESEARCH SERVICE,GS-02F-XA001,OS2,2/1/2013,HP No. 940 Black Ink Cartridge - Inkjet - 1000 Page - Black,"OTHER, UNDEFINED",HP No. 940 Black Ink Cartridge - Inkjet - 1000 Page - Black,HEWLETT PACKARD,HEWC4902AN140,26.25,7510,"OTHER, UNDEFINED",EA,1,"CAPITOL SUPPLY, INC.",26.25,OFFICE SUPPLIES,1,44103105,GSA ADVANTAGE!,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,159-13-006,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/19/2013,"CTGCTG27P: Toner Cartridge, for HP Laser - EA","OTHER, UNDEFINED","CTGCTG27P: Toner Cartridge, for HP Laser - EA",CTG,CTGCTG27P,27.96,7510,"OTHER, UNDEFINED",EA,1,DOCUMENT IMAGING DIMENSIONS INC.,27.96,OFFICE SUPPLIES,1,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
DEPARTMENT OF AGRICULTURE,159-13-006,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/19/2013,DDR61X: Compatible replaces C8061X - EA,"OTHER, UNDEFINED",DDR61X: Compatible replaces C8061X - EA,DID INC,DDR61X,34.37,7510,"OTHER, UNDEFINED",EA,1,DOCUMENT IMAGING DIMENSIONS INC.,34.37,OFFICE SUPPLIES,1,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
DEPARTMENT OF AGRICULTURE,179-13-003,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/22/2013,CTGCTG51XP: Cmpt Tnr OEM# Q7551X 13k Yld - EA,"OTHER, UNDEFINED",CTGCTG51XP: Cmpt Tnr OEM# Q7551X 13k Yld - EA,Clover Technologies Group,CTGCTG51XP,57.08,7510,"OTHER, UNDEFINED",EA,1,DOCUMENT IMAGING DIMENSIONS INC.,57.08,OFFICE SUPPLIES,1,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
DEPARTMENT OF AGRICULTURE,179-13-003,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/22/2013,DDR61X: Compatible replaces C8061X - EA,"OTHER, UNDEFINED",DDR61X: Compatible replaces C8061X - EA,DID INC,DDR61X,34.37,7510,"OTHER, UNDEFINED",EA,1,DOCUMENT IMAGING DIMENSIONS INC.,34.37,OFFICE SUPPLIES,1,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
DEPARTMENT OF AGRICULTURE,185-13-005,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/25/2013,DDR61X: Compatible replaces C8061X - EA,"OTHER, UNDEFINED",DDR61X: Compatible replaces C8061X - EA,DID INC,DDR61X,34.37,7510,"OTHER, UNDEFINED",EA,4,DOCUMENT IMAGING DIMENSIONS INC.,137.48,OFFICE SUPPLIES,4,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
DEPARTMENT OF AGRICULTURE,2013-134X1348552,DEPARTMENT OF AGRICULTURE,GS-02F-XA001,OS2,2/19/2013,MFG Part#:PC1500BKD DURACELL - PC1500BKD - PROCELL IND AA-CELL ALKA LINE BATTERY 24/PACK - MFG Part: PC1500BKD,"OTHER, UNDEFINED",MFG Part#:PC1500BKD DURACELL - PC1500BKD - PROCELL IND AA-CELL ALKA LINE BATTERY 24/PACK - MFG Part: PC1500BKD,DURACELL,PC1500BKD,10.82,7510,"OTHER, UNDEFINED",PK,2,"CAPITOL SUPPLY, INC.",21.64,OFFICE SUPPLIES,2,26111702,VENDOR PORTAL,OFFICE SUPPLIES,131781643
DEPARTMENT OF AGRICULTURE,213,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/15/2013,7510002236807: Binder Clips - 1/2' - DZ,"OTHER, UNDEFINED",7510002236807: Binder Clips - 1/2' - DZ,AbilityOne,7.51E+12,1.85,7510,"OTHER, UNDEFINED",DZ,2,DOCUMENT IMAGING DIMENSIONS INC.,3.7,OFFICE SUPPLIES,2,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
DEPARTMENT OF AGRICULTURE,213,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/15/2013,7510002828201: Binder Clips - 1/4' - DZ,"OTHER, UNDEFINED",7510002828201: Binder Clips - 1/4' - DZ,AbilityOne,7.51E+12,0.78,7510,"OTHER, UNDEFINED",DZ,2,DOCUMENT IMAGING DIMENSIONS INC.,1.56,OFFICE SUPPLIES,2,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
DEPARTMENT OF AGRICULTURE,213,DEPARTMENT OF AGRICULTURE,GS-02F-XA002,OS2,2/15/2013,"7530011167866: Self-Stick Note Pads Yellow,1 - DZ","OTHER, UNDEFINED","7530011167866: Self-Stick Note Pads Yellow,1 - DZ",AbilityOne,7.53001E+12,4.32,7510,"OTHER, UNDEFINED",DZ,1,DOCUMENT IMAGING DIMENSIONS INC.,4.32,OFFICE SUPPLIES,1,0,VENDOR PORTAL,OFFICE SUPPLIES,38062712
